id,name,content_type_id,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add adjacent states,7,add_adjacentstates
26,Can change adjacent states,7,change_adjacentstates
27,Can delete adjacent states,7,delete_adjacentstates
28,Can view adjacent states,7,view_adjacentstates
29,Can add approve client attachment,8,add_approveclientattachment
30,Can change approve client attachment,8,change_approveclientattachment
31,Can delete approve client attachment,8,delete_approveclientattachment
32,Can view approve client attachment,8,view_approveclientattachment
33,Can add approve client detail,9,add_approveclientdetail
34,Can change approve client detail,9,change_approveclientdetail
35,Can delete approve client detail,9,delete_approveclientdetail
36,Can view approve client detail,9,view_approveclientdetail
37,Can add auth group,10,add_authgroup
38,Can change auth group,10,change_authgroup
39,Can delete auth group,10,delete_authgroup
40,Can view auth group,10,view_authgroup
41,Can add auth group permissions,11,add_authgrouppermissions
42,Can change auth group permissions,11,change_authgrouppermissions
43,Can delete auth group permissions,11,delete_authgrouppermissions
44,Can view auth group permissions,11,view_authgrouppermissions
45,Can add auth permission,12,add_authpermission
46,Can change auth permission,12,change_authpermission
47,Can delete auth permission,12,delete_authpermission
48,Can view auth permission,12,view_authpermission
49,Can add auth user,13,add_authuser
50,Can change auth user,13,change_authuser
51,Can delete auth user,13,delete_authuser
52,Can view auth user,13,view_authuser
53,Can add auth user groups,14,add_authusergroups
54,Can change auth user groups,14,change_authusergroups
55,Can delete auth user groups,14,delete_authusergroups
56,Can view auth user groups,14,view_authusergroups
57,Can add auth user user permissions,15,add_authuseruserpermissions
58,Can change auth user user permissions,15,change_authuseruserpermissions
59,Can delete auth user user permissions,15,delete_authuseruserpermissions
60,Can view auth user user permissions,15,view_authuseruserpermissions
61,Can add bank detail master,16,add_bankdetailmaster
62,Can change bank detail master,16,change_bankdetailmaster
63,Can delete bank detail master,16,delete_bankdetailmaster
64,Can view bank detail master,16,view_bankdetailmaster
65,Can add candidate pipeline,17,add_candidatepipeline
66,Can change candidate pipeline,17,change_candidatepipeline
67,Can delete candidate pipeline,17,delete_candidatepipeline
68,Can view candidate pipeline,17,view_candidatepipeline
69,Can add certificate master,18,add_certificatemaster
70,Can change certificate master,18,change_certificatemaster
71,Can delete certificate master,18,delete_certificatemaster
72,Can view certificate master,18,view_certificatemaster
73,Can add change request,19,add_changerequest
74,Can change change request,19,change_changerequest
75,Can delete change request,19,delete_changerequest
76,Can view change request,19,view_changerequest
77,Can add change request attachment,20,add_changerequestattachment
78,Can change change request attachment,20,change_changerequestattachment
79,Can delete change request attachment,20,delete_changerequestattachment
80,Can view change request attachment,20,view_changerequestattachment
81,Can add change request line item,21,add_changerequestlineitem
82,Can change change request line item,21,change_changerequestlineitem
83,Can delete change request line item,21,delete_changerequestlineitem
84,Can view change request line item,21,view_changerequestlineitem
85,Can add change request reject reason,22,add_changerequestrejectreason
86,Can change change request reject reason,22,change_changerequestrejectreason
87,Can delete change request reject reason,22,delete_changerequestrejectreason
88,Can view change request reject reason,22,view_changerequestrejectreason
89,Can add chat message,23,add_chatmessage
90,Can change chat message,23,change_chatmessage
91,Can delete chat message,23,delete_chatmessage
92,Can view chat message,23,view_chatmessage
93,Can add city master,24,add_citymaster
94,Can change city master,24,change_citymaster
95,Can delete city master,24,delete_citymaster
96,Can view city master,24,view_citymaster
97,Can add client msa,25,add_clientmsa
98,Can change client msa,25,change_clientmsa
99,Can delete client msa,25,delete_clientmsa
100,Can view client msa,25,view_clientmsa
101,Can add client profile,26,add_clientprofile
102,Can change client profile,26,change_clientprofile
103,Can delete client profile,26,delete_clientprofile
104,Can view client profile,26,view_clientprofile
105,Can add closeoutline item,27,add_closeoutlineitem
106,Can change closeoutline item,27,change_closeoutlineitem
107,Can delete closeoutline item,27,delete_closeoutlineitem
108,Can view closeoutline item,27,view_closeoutlineitem
109,Can add close out package request,28,add_closeoutpackagerequest
110,Can change close out package request,28,change_closeoutpackagerequest
111,Can delete close out package request,28,delete_closeoutpackagerequest
112,Can view close out package request,28,view_closeoutpackagerequest
113,Can add close out package request attachment,29,add_closeoutpackagerequestattachment
114,Can change close out package request attachment,29,change_closeoutpackagerequestattachment
115,Can delete close out package request attachment,29,delete_closeoutpackagerequestattachment
116,Can view close out package request attachment,29,view_closeoutpackagerequestattachment
117,Can add close out package request reject reason,30,add_closeoutpackagerequestrejectreason
118,Can change close out package request reject reason,30,change_closeoutpackagerequestrejectreason
119,Can delete close out package request reject reason,30,delete_closeoutpackagerequestrejectreason
120,Can view close out package request reject reason,30,view_closeoutpackagerequestrejectreason
121,Can add company master,31,add_companymaster
122,Can change company master,31,change_companymaster
123,Can delete company master,31,delete_companymaster
124,Can view company master,31,view_companymaster
125,Can add cumulative leader board,32,add_cumulativeleaderboard
126,Can change cumulative leader board,32,change_cumulativeleaderboard
127,Can delete cumulative leader board,32,delete_cumulativeleaderboard
128,Can view cumulative leader board,32,view_cumulativeleaderboard
129,Can add diversity category master,33,add_diversitycategorymaster
130,Can change diversity category master,33,change_diversitycategorymaster
131,Can delete diversity category master,33,delete_diversitycategorymaster
132,Can view diversity category master,33,view_diversitycategorymaster
133,Can add django admin log,34,add_djangoadminlog
134,Can change django admin log,34,change_djangoadminlog
135,Can delete django admin log,34,delete_djangoadminlog
136,Can view django admin log,34,view_djangoadminlog
137,Can add django content type,35,add_djangocontenttype
138,Can change django content type,35,change_djangocontenttype
139,Can delete django content type,35,delete_djangocontenttype
140,Can view django content type,35,view_djangocontenttype
141,Can add django migrations,36,add_djangomigrations
142,Can change django migrations,36,change_djangomigrations
143,Can delete django migrations,36,delete_djangomigrations
144,Can view django migrations,36,view_djangomigrations
145,Can add django session,37,add_djangosession
146,Can change django session,37,change_djangosession
147,Can delete django session,37,delete_djangosession
148,Can view django session,37,view_djangosession
149,Can add experience level master,38,add_experiencelevelmaster
150,Can change experience level master,38,change_experiencelevelmaster
151,Can delete experience level master,38,delete_experiencelevelmaster
152,Can view experience level master,38,view_experiencelevelmaster
153,Can add flyway schema history,39,add_flywayschemahistory
154,Can change flyway schema history,39,change_flywayschemahistory
