id,created_by,created_date,updated_by,updated_date,reason,close_out_package_request_id
0edb6985-a5dd-452e-a793-b1c6aa075cf4,NULL,2025-04-30 06:39:34,NULL,2025-04-30 06:39:34,Due to such improper Quality work.,067f8fc8-aa1a-4e52-b440-43f9f7f4e83f
13ac7b5f-a9d3-4bf4-94b8-81d7955dc82c,NULL,2025-04-30 06:39:34,NULL,2025-04-30 06:39:34,Due to such improper Quality work.,1098e7c2-f7e3-4b04-a90b-fb8fb6895887
27ff0ea2-3314-4bcc-b782-472e47c60c44,NULL,2024-07-02 06:23:23,NULL,2024-07-02 06:23:23,For test,515e2c0a-1f16-47c5-9881-535ee7d369f5
3246ea85-f411-4014-a4c0-8355b5730d78,NULL,2024-07-08 12:19:09,NULL,2024-07-08 12:19:09,test reject,0eafebca-97ea-4a45-8675-b6ef816edbad
3ed9c7ba-c615-4f6c-b09d-17c417a2207f,NULL,2024-07-08 05:51:12,NULL,2024-07-08 05:51:12,ioik,5770e29c-9ec4-4c3f-83fc-b9d0066388fa
4598cdf2-f327-42c1-9727-9d61e2a2ccd5,NULL,2025-04-30 06:39:34,NULL,2025-04-30 06:39:34,Due to such improper Quality work.,69f025f7-ccee-4e00-b5f3-2ce768430d77
5b0aeaf0-28bb-4aa2-9eb6-8fe8d735259a,NULL,2024-07-08 10:39:39,NULL,2024-07-08 10:39:39,prp test only,5770e29c-9ec4-4c3f-83fc-b9d0066388fa
5d37aad2-f66b-48ac-baee-b22625bda500,NULL,2025-04-30 06:39:35,NULL,2025-04-30 06:39:35,Due to such improper Quality work.,43bde73f-8dbe-4ade-a075-c89c0a7f8679
615a7207-e07a-4cd7-aaa7-85c070272f24,NULL,2025-04-30 06:39:34,NULL,2025-04-30 06:39:34,Due to such improper Quality work.,36127906-92aa-45bc-b9d5-98786930555d
6405156a-20cf-436b-aca6-d509e74cf134,NULL,2024-07-08 05:43:24,NULL,2024-07-08 05:43:24,ioik,5770e29c-9ec4-4c3f-83fc-b9d0066388fa
6b2555b8-7fcc-4d9d-b898-9e2449e84c47,NULL,2024-07-08 05:58:35,NULL,2024-07-08 05:58:35,ioik,5770e29c-9ec4-4c3f-83fc-b9d0066388fa
70385851-0452-4147-af58-4a36f4af8c34,NULL,2025-04-30 06:39:34,NULL,2025-04-30 06:39:34,Due to such improper Quality work.,9d700925-6f25-4750-8b60-6f782a5cb2d7
7d6c3f29-6c06-4da6-a80d-41859dd596bf,NULL,2024-07-08 11:08:52,NULL,2024-07-08 11:08:52,ioik,5770e29c-9ec4-4c3f-83fc-b9d0066388fa
8426b8b3-1d46-4f9f-9ef0-f858a8ca701d,NULL,2025-04-30 06:39:35,NULL,2025-04-30 06:39:35,Due to such improper Quality work.,86536148-e053-415d-8114-0576129fe655
91cb04cd-0aa9-4b72-a4cb-ce79265aebed,NULL,2024-07-02 11:51:49,NULL,2024-07-02 11:51:49,For test,515e2c0a-1f16-47c5-9881-535ee7d369f5
a4277243-85ae-463a-8455-fe8028d43bc7,NULL,2024-08-22 09:20:17,NULL,2024-08-22 09:20:17,testing,0a4ec53b-ec00-443c-9147-bda955869a29
acbac292-a6c7-44d1-8030-2c4bf60d6037,NULL,2024-07-08 05:52:26,NULL,2024-07-08 05:52:26,ioik,5770e29c-9ec4-4c3f-83fc-b9d0066388fa
acc7dca0-6fd5-464e-b8f6-a4fcc24aeec8,NULL,2024-08-22 09:17:33,NULL,2024-08-22 09:17:33,test,f486210a-29fe-4762-82a0-ccc36ec0492d
b7bc3977-7642-48b9-9a2d-fe4f6e1327bf,NULL,2024-08-22 10:28:46,NULL,2024-08-22 10:28:46,hjnbj,a7f184c1-eb81-439d-920c-9187d8ac588b
bfee835a-4816-48fe-b83b-3efedebac60f,NULL,2025-04-30 06:39:34,NULL,2025-04-30 06:39:34,Due to such improper Quality work.,7613e2e6-a9c2-4e5d-ad03-3727140777f3
cfc6aa1d-ab83-4276-8dc9-36b9726eaf2f,NULL,2025-04-30 06:39:34,NULL,2025-04-30 06:39:34,Due to such improper Quality work.,001a23f5-2a61-48b8-bfe0-38517ec858fb
da745391-cef0-4062-ae1f-c0cb0caa8dea,NULL,2024-07-11 04:31:26,NULL,2024-07-11 04:31:26,Test,f7c8d22f-69c5-49cb-9ad1-e4e6f25c8a2e
dc29788c-a1ee-4994-bb73-d6d1f71a92d9,NULL,2024-08-22 10:21:05,NULL,2024-08-22 10:21:05,test,7f4e2bf2-cace-43bc-8c43-bf72b21e3523
dde3310f-0fa8-4432-b74e-27b837d92956,NULL,2024-07-11 04:15:02,NULL,2024-07-11 04:15:02,bus u hi,788e6c5c-36d5-41fd-96fc-e2f28714d41e
e51cc207-7bd4-4481-84b2-5edf1585c188,NULL,2025-04-30 06:39:34,NULL,2025-04-30 06:39:34,Due to such improper Quality work.,32c7efce-4f6b-4c85-a518-eade7149b7d0
