id,created_by,created_date,updated_by,updated_date,filename,path,jobsite_id
01548f40-817c-4e38-9dfc-9336e24a9078,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-16 10:51:03,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-29 05:49:41,2024-05-20T16_17_38.png,IconicWorkerUserImages/8b170f3d-de93-40e1-b4fc-c5b934170ba4,0a958343-9e12-4424-98f5-8ea20543f27e
0534db3b-ff7c-46db-a3ee-30347a4a72a1,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-08-05 13:48:06,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-29 05:49:50,2024-05-20T16_17_28.png,IconicWorkerUserImages/df6d9005-0e76-4193-9328-a85ef13689c4,cfc41792-f432-43cd-ab25-ed1c0444be48
05918a49-4754-44fc-a335-7a01ee923f07,c8367fc3-d459-4b83-b48b-37521e6d4795,2023-12-06 07:19:53,c8367fc3-d459-4b83-b48b-37521e6d4795,2023-12-06 07:19:53,image_hX.png,IconicWorkerUserImages/45e4a0bc-e60f-412c-b088-b8fc3e03f878,8e698040-bbda-4fb8-b4b8-08930ff22a0e
05a5739e-685c-4fbd-8452-a66f4e4257fc,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-07-08 04:20:22,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-07-08 04:20:22,SampleVideo_1280x720_1mb (1).mp4,IconicWorkerUserImages/c50551b4-42fb-4a0b-95b9-b4aa4370abfc,a29f47ec-f8ee-4ae8-b78d-122f243d2048
05f70d7a-5911-4222-a274-0c72d0849561,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-25 04:11:38,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-19 09:05:52,SampleVideo_1280x720_1mb (1).mp4,IconicWorkerUserImages/0a2b6924-7236-469a-9cd6-b9259d2f36cf,3dfa094f-b839-4034-8f9f-f6ffddfac5b2
0693a3e4-8a1d-40bc-9386-da050bc2c290,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-19 09:02:50,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-19 09:02:50,SamplePNGImage_100kbmb.png,IconicWorkerUserImages/363acc38-8cb0-4b94-babb-43e726a2538a,94d74a2c-b1ad-47fa-a404-466ec6a85d6d
0c66f08d-ff27-4f1a-87ab-9da088a203cd,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-03-04 10:53:11,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-03-04 10:53:11,SamplePNGImage_500kbmb.png,IconicWorkerUserImages/cbfc70d8-56f9-43b2-bdda-00b7bd2dba19,0a06a792-10c9-4631-9a56-7bc9207bcfc1
0f1f2616-3b0e-4386-8a0b-e18c0206c12d,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-18 08:52:35,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-18 06:32:23,SamplePNGImage_100kbmb.png,IconicWorkerUserImages/0f2f6db1-b25c-46d5-954f-f83db5b7859c,41ac9fc2-d389-4931-9fce-f6bb7b9a8659
0fdcff08-508c-4ed5-90b2-fab60d133fa9,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-08-01 12:51:55,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-29 05:49:50,2024-05-20T16_17_28.png,IconicWorkerUserImages/df6d9005-0e76-4193-9328-a85ef13689c4,f8977d94-47fc-49bf-aad2-1ade9ae69630
10dc3519-3790-429c-9380-ddeb6f2cf7e0,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-18 08:52:35,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-18 06:32:23,file_example_XLSX_10.xlsx,IconicWorkerUserImages/90b89cb4-f9d7-4e7c-883b-b30974bcc608,41ac9fc2-d389-4931-9fce-f6bb7b9a8659
12254b6d-f8dc-4f37-9eee-2963aba6c6f9,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-18 08:39:48,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-18 07:08:26,sample.pdf,IconicWorkerUserImages/6f6ab3b9-13f2-42b6-a7dc-245a4f585b2e,3bb4bb1e-a5dc-4c51-b622-6dd237599aab
130d36e3-8bf0-41eb-937b-8a51bb556425,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-25 03:48:31,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-23 04:28:00,manual-testing-2-years-exp.doc,IconicWorkerUserImages/d2ce9ffe-dcff-411e-962c-aa463a34a4ea,1318e060-39b4-4d37-acda-ce6e51c474d5
14be1eae-79e5-4916-b4c0-ad805b38cc6f,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-08-22 11:43:19,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-29 05:49:41,2024-05-20T16_17_38.png,IconicWorkerUserImages/8b170f3d-de93-40e1-b4fc-c5b934170ba4,97af8684-99c1-45d4-bd26-66d06996c7fc
161a7ed9-263e-4496-9d09-a1fc0a5d7055,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-18 07:08:26,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-18 07:08:26,SampleAudio_0.7mb.mp3,IconicWorkerUserImages/330a0624-ecd8-4ecc-b1d9-050e3f37ee31,e108ee05-aa2a-4ffc-b49a-f0f94fac03fe
16d02941-c53f-47b0-9600-bda404de7c60,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-22 04:19:42,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-22 04:19:42,Bunglow.jpg,IconicWorkerUserImages/9933840f-9cfa-49f5-ae23-efc874127f9e,dd63bfcf-c1a6-4bf7-8e02-4298bf0ee64b
19c730f5-a10d-45e0-b644-bda28343021a,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-22 04:14:38,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-22 04:14:38,automation-testing-5-years-exp.pdf,IconicWorkerUserImages/b196f71c-871e-4fae-8729-34b4f2e1cd50,68c0cdea-dc9d-4e18-a260-4e8cea13e4be
19e49977-4b17-4c8e-9cfc-f801e676f5bd,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-18 06:32:23,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-18 06:32:23,SampleAudio_0.4mb.mp3,IconicWorkerUserImages/eaa6c999-84df-4edb-a22e-29cbac9a82a4,989fdb44-0c9e-4111-b7ea-7d63172a118e
