id,work_title,work_date,work_description,worker_id,job_id,created_date,updated_date,created_by,updated_by
06241b8b-c521-42c9-a1cd-0f6810b002eb,Day1,2024-07-12 00:00:00,Test,c0034241-97a3-4d0b-9e28-2749df940e97,b200e8ac-ef05-410a-bfb8-0b6c6506bf08,2024-07-12 05:49:27,2024-07-12 05:49:27,c0034241-97a3-4d0b-9e28-2749df940e97,c0034241-97a3-4d0b-9e28-2749df940e97
092be7ef-5a04-4fb9-9416-1d3a940c1f5d,aqsww,2024-08-27 00:00:00,,33b084f8-5018-401d-a23e-352419099be5,130a8570-9165-4478-950d-3a64fc348d7e,2024-08-29 07:26:05,2024-08-29 07:26:05,33b084f8-5018-401d-a23e-352419099be5,33b084f8-5018-401d-a23e-352419099be5
0db2fb35-644c-40d6-ab5a-703441c75d2f,Test1,2024-04-12 00:00:00,,dd272510-abea-4d7c-989b-4bce3091cca2,ac88791d-6ff2-4b13-921e-81d0bf5865cd,2024-04-12 04:12:48,2024-04-12 04:12:48,dd272510-abea-4d7c-989b-4bce3091cca2,dd272510-abea-4d7c-989b-4bce3091cca2
11b27f36-9ab5-40e2-aaca-9edc847e08b1,Day 4,2023-11-22 18:30:00,,54fea194-4220-40ff-83dd-00c5a946dc25,b1eabe48-ae2c-4a9c-bed7-8a5e65bf6887,2023-11-23 06:52:28,2023-11-23 07:01:59,54fea194-4220-40ff-83dd-00c5a946dc25,54fea194-4220-40ff-83dd-00c5a946dc25
13cd92b3-5d4d-48a1-a59d-1646edcbece8,Test,2024-08-16 00:00:00,,ea8d9856-029d-4071-8305-def44004aca8,0b587c31-f62f-4039-b90e-add74622015f,2024-08-16 09:58:49,2024-08-16 09:58:49,ea8d9856-029d-4071-8305-def44004aca8,ea8d9856-029d-4071-8305-def44004aca8
16e94df1-9620-4772-bfe9-440b2589642a,Developing machine learning,2024-02-12 18:30:00,gfd,33b084f8-5018-401d-a23e-352419099be5,82fc20e3-f86e-450f-9663-5eb9cf4f3951,2024-02-14 03:58:16,2024-02-14 03:58:16,33b084f8-5018-401d-a23e-352419099be5,33b084f8-5018-401d-a23e-352419099be5
18a2d701-d042-4723-a74e-fc0afd802f4a,Day1,2024-02-22 00:00:00,,1ec5afe3-043f-45dd-8f4c-7a84d55db398,b0a9be3f-c9a7-45c3-a263-86490762d5a5,2024-02-22 11:19:31,2024-02-22 12:29:38,1ec5afe3-043f-45dd-8f4c-7a84d55db398,1ec5afe3-043f-45dd-8f4c-7a84d55db398
19263b34-96fa-4d95-8cf9-342a8a5832e4,Day12,2024-02-20 18:30:00,,9e11456c-f0f6-48c7-9cbf-6f4447379727,f5b1ce67-7ba9-4273-b46c-be19cdbee1aa,2024-02-21 09:40:50,2024-02-21 09:40:50,9e11456c-f0f6-48c7-9cbf-6f4447379727,9e11456c-f0f6-48c7-9cbf-6f4447379727
1986876d-3ceb-4133-8d1a-bec4f58fc2cf,Login,2024-02-11 18:30:00,,54fea194-4220-40ff-83dd-00c5a946dc25,f2252132-cceb-4075-b19c-47ae801bb912,2024-02-12 05:28:31,2024-02-12 06:16:06,54fea194-4220-40ff-83dd-00c5a946dc25,54fea194-4220-40ff-83dd-00c5a946dc25
288214fc-7b4a-4626-ac92-1b2cbe35a1b9,aqsww,2024-06-11 00:00:00,sxdcfcf,159430f6-743d-4d53-b3fb-0a18f95a7f2e,d4d8a0fe-0557-4d2f-a386-b2e919571e4c,2024-06-11 10:51:35,2024-06-11 10:51:35,159430f6-743d-4d53-b3fb-0a18f95a7f2e,159430f6-743d-4d53-b3fb-0a18f95a7f2e
30cb23a0-48ea-45a3-ab87-cc82a7b24575,Day3,2024-05-08 00:00:00,,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,47c95842-c435-4dd6-9ac6-9b3abb67893b,2024-05-09 07:01:49,2024-05-09 07:01:49,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,c9a92ec3-4ed8-4db2-b186-cb54e9864a29
