id,created_by,created_date,updated_by,updated_date,bidding_type,client_special_notes,has_bidded_on_project,is_project_completed,margin_percentage,platform_fee,project_accepted_date,project_applied_date,project_completion_date,status,sub_contractor_cost,subcontractor_payout,project_detail_id,subcontractor_id,subcontractor_profile_id,project_estimated_start_date,bid_action,worker_cost,worker_id,worker_profile_id
00310431-4cd9-4591-9d73-881ddb012175,NULL,2024-08-21 10:38:59,NULL,2024-08-21 10:40:46,BY_PROJECT,,_binary '0',_binary '0',0,0,2024-08-21 10:40:46,2024-08-21 10:39:16,NULL,ACCEPTED,100,0,3dc187e7-4b24-44c8-bfab-ff0c5c4ef68c,a3d2b1e9-d64f-46b7-85f5-af83442a5547,962c9bfc-f604-4db3-ae46-a76c6913b103,2024-08-21 10:40:43,NULL,0,NULL,NULL
00533a16-0205-4033-9a28-0949fb1fdae1,NULL,2024-03-19 12:25:55,NULL,2024-03-19 12:47:19,BY_PROJECT,,_binary '',_binary '0',0,0,NULL,2024-03-19 12:28:10,NULL,OFFERED,110,0,4b171913-57a9-4384-b3e0-d1dc31c63af8,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,14119d7b-9caa-4216-a8c6-cbf5a29afceb,NULL,0,0,NULL,NULL
005c1a16-7c03-4472-8fda-e1fa8a31f558,NULL,2022-12-30 05:31:35,NULL,2022-12-30 05:32:33,BY_PROJECT,NULL,_binary '0',_binary '0',0,0,NULL,2022-12-30 05:32:33,NULL,APPLIED,15,0,27ba6d57-e8a0-4aa6-a5ba-aa2ae7914b64,a3d2b1e9-d64f-46b7-85f5-af83442a5547,962c9bfc-f604-4db3-ae46-a76c6913b103,NULL,1,0,NULL,NULL
012e284f-c4ce-48a5-afbd-e4e8ced5b790,NULL,2024-05-08 12:06:58,NULL,2024-05-08 12:20:21,BY_JOBSITE,NULL,_binary '0',_binary '0',0,0,2024-05-08 12:25:16,NULL,NULL,ACCEPTED,0,0,c9fdbb51-211a-4e94-9d30-ecbca5d73c3d,NULL,NULL,NULL,NULL,13550,a877c83c-637c-4b7b-8e74-6705e8ca084d,efe8a6f2-4a56-4273-97f4-395058b3f422
02be20d4-0902-4e29-b040-877c980cfc09,NULL,2024-07-30 12:52:52,NULL,2024-07-30 12:52:52,BY_JOBSITE,NULL,_binary '0',_binary '0',0,0,NULL,NULL,NULL,STARTED,0,0,0cba0c55-ff27-4b47-bfae-d648508eca09,73c35bda-c637-4513-a758-b9491df12540,7f0d466f-5824-407f-ba2e-6e878c8cc8ad,NULL,NULL,0,NULL,NULL
02c921cf-ce33-4747-9718-e960470cc4c7,NULL,2024-04-03 04:48:41,NULL,2024-04-03 04:54:42,BY_JOBSITE,NULL,_binary '0',_binary '0',0,0,2024-04-03 04:52:45,NULL,NULL,ACCEPTED,0,0,83b8aeaf-2607-4342-8697-77c1924c9a9b,NULL,NULL,NULL,NULL,85,ea8d9856-029d-4071-8305-def44004aca8,d2ea8245-a80f-4cc1-b2f7-2b60ee86e1a3
036acbc9-4cb8-4aeb-86fa-8c5205e6b13a,NULL,2024-02-06 12:12:47,NULL,2024-02-06 12:12:47,BY_JOBSITE,NULL,_binary '0',_binary '0',0,0,NULL,NULL,NULL,STARTED,0,0,295c0732-5668-4a25-a092-ac9cc4d667fc,a3d2b1e9-d64f-46b7-85f5-af83442a5547,962c9bfc-f604-4db3-ae46-a76c6913b103,NULL,0,0,NULL,NULL
03c7f9ed-f673-4c92-aaf3-f1167ba87125,NULL,2024-03-18 10:04:13,NULL,2024-03-18 10:07:23,BY_JOBSITE,NULL,_binary '0',_binary '0',0,0,2024-03-18 10:07:23,NULL,NULL,ACCEPTED,91,0,239f86b3-c918-45cf-a7ee-8f527f3d97e7,c1e99329-85c4-457f-9e56-40760d57aff5,3422a13f-a720-4fb5-8341-9ec74647ad21,2024-03-18 10:06:09,0,0,NULL,NULL
03edc2d4-2889-49d3-aff7-77f325a794cb,NULL,2022-11-29 07:15:57,NULL,2022-11-29 07:32:55,BY_PROJECT,Please maintain quality,_binary '0',_binary '0',0,0,2022-11-29 07:32:55,2022-11-29 07:17:49,NULL,ACCEPTED,200,0,243b34fc-984a-460c-8d91-452fab6a3e79,a3d2b1e9-d64f-46b7-85f5-af83442a5547,962c9bfc-f604-4db3-ae46-a76c6913b103,2022-12-02 18:30:00,1,0,NULL,NULL
04600a4c-c9e7-4e3f-a0e7-f685b2c02ddc,NULL,2024-08-16 07:02:33,NULL,2024-08-16 11:24:20,BY_JOBSITE,NULL,_binary '0',_binary '0',0,0,2024-08-16 07:20:15,NULL,NULL,ACCEPTED,0,0,dd216be6-eb63-4ccd-b7c0-8523728cf302,a3d2b1e9-d64f-46b7-85f5-af83442a5547,962c9bfc-f604-4db3-ae46-a76c6913b103,NULL,NULL,0,NULL,NULL
