id,created_by,created_date,updated_by,updated_date,approved_date,certification_date,document_name1,document_name2,document_path1,document_path2,expiry_date,rejected_date,status,certificate_id,user_id,is_currently_valid
00d4f2e4-429a-42b5-9304-81dadfd6304d,NULL,2024-02-29 04:38:43,NULL,2024-02-29 04:38:43,NULL,2024-02-20 18:30:00,,,,,NULL,NULL,PENDING,51d50005-613c-4bd1-9444-f1137a344c2f,4a5d5957-632c-43b9-979c-6a3c384f4e13,1
02002d3c-03df-4742-ac0a-f5e627dacb91,NULL,2022-01-07 16:33:08,NULL,2023-12-13 04:52:23,2023-12-13 04:52:23,2019-12-31 18:30:00,Hitesh Z - Narola Infotech (1).pdf,,IconicWorkerUserImages/e6714b2a-620f-457b-b1fd-ebe72eb65062,,2020-12-30 18:30:00,NULL,APPROVED,6ec2ec78-a784-480a-9c41-8a49a63ab85b,9e11456c-f0f6-48c7-9cbf-6f4447379727,0
0562adaa-acf6-4853-8958-8da750783c3c,NULL,2024-03-08 12:01:01,NULL,2024-03-08 12:01:01,NULL,2024-03-14 18:30:00,,,,,2024-03-20 18:30:00,NULL,PENDING,81454c0e-3f07-4e50-b713-cfdc60973f52,7d49d132-b020-401a-ba47-5d7747d84101,0
0841ad6d-2849-47dc-aa2c-79fdd52a9f07,NULL,2024-08-22 11:25:32,NULL,2024-08-22 11:28:22,NULL,2024-08-04 18:30:00,IW_2024_3171928.pdf,,IconicWorkerUserImages/5cf54e50-c7c8-432b-bb37-61ec71eaf5cb,,2024-08-15 18:30:00,2024-08-22 11:28:22,REJECTED,51d50005-613c-4bd1-9444-f1137a344c2f,159430f6-743d-4d53-b3fb-0a18f95a7f2e,0
085d362f-9541-4715-891e-a1fcfaec1534,NULL,2024-03-28 04:08:37,NULL,2024-03-28 04:33:31,2024-03-28 04:33:31,2024-03-27 18:30:00,sample.pdf,,IconicWorkerUserImages/d5f8d1c2-b831-4de4-8886-dd4533a33dc5,,NULL,NULL,APPROVED,2bca0fb4-f164-4de9-b6c2-6a5238e8e1a3,c0034241-97a3-4d0b-9e28-2749df940e97,1
0a12dd9a-f0a1-48c7-a45c-f8087ef84663,NULL,2024-03-27 07:23:24,NULL,2024-08-08 10:53:46,2024-08-08 10:53:46,2024-03-29 18:30:00,IW_2024_1358609 (1).pdf,,IconicWorkerUserImages/1aebd3c7-dcc5-408e-8fdb-c4e3313ae93a,,NULL,NULL,APPROVED,51d50005-613c-4bd1-9444-f1137a344c2f,33b084f8-5018-401d-a23e-352419099be5,1
0bc01978-68ee-4b11-ad93-f445d43c1f06,NULL,2024-03-27 07:23:48,NULL,2024-03-27 07:23:48,NULL,2024-03-27 18:30:00,T-Sheets Walkthrough.pdf,,IconicWorkerUserImages/dac2f8e3-961e-4102-8274-faef6ac44cb6,,NULL,NULL,PENDING,eb1b8bef-ad15-48a1-8f84-9bb42d809202,33b084f8-5018-401d-a23e-352419099be5,1
0ceebb50-f58a-47d9-99f5-28aa806cd6f1,NULL,2023-12-14 12:32:10,NULL,2023-12-21 07:27:43,2023-12-21 07:27:43,2023-11-30 18:30:00,Hitesh Z - Narola Infotech (1).pdf,,IconicWorkerUserImages/e45365e1-420c-4e09-8b64-62507bfd3ab1,,NULL,NULL,APPROVED,eea16b21-d94f-4add-a396-5bd9fbceb2a7,9e11456c-f0f6-48c7-9cbf-6f4447379727,1
0e1e507c-e0c7-45e7-943f-91cf19f52a8f,NULL,2023-06-21 13:29:19,NULL,2023-06-21 13:29:30,NULL,2023-06-13 18:30:00,code-example.pdf,,IconicWorkerUserImages/81ff8078-9cb0-408a-97b2-a975ac4e1180,,2023-06-14 18:30:00,NULL,PENDING,81454c0e-3f07-4e50-b713-cfdc60973f52,e6eb2e74-10ee-4444-99d3-9375846fd6f2,0
0f603eb2-9d53-46b0-bdea-63d3dc2d3e49,NULL,2023-12-14 12:32:34,NULL,2023-12-21 07:27:45,2023-12-21 07:27:45,2023-11-30 18:30:00,Hitesh Z - Narola Infotech (1).pdf,,IconicWorkerUserImages/e5995360-9e7a-4aa6-9de1-8694d8d6ac6e,,NULL,NULL,APPROVED,81454c0e-3f07-4e50-b713-cfdc60973f52,9e11456c-f0f6-48c7-9cbf-6f4447379727,1
10b90d9f-ddc0-4198-b053-c8720aea0e5f,NULL,2023-06-29 06:00:09,NULL,2023-06-29 12:25:43,NULL,2023-06-15 18:30:00,cheat-sheet.pdf,code-example (1).pdf,IconicWorkerUserImages/39f106f3-2f78-418a-88c3-8cb6042301c5,IconicWorkerUserImages/bac43824-ef9b-4db2-855d-3b2813834aa5,2023-06-23 18:30:00,NULL,PENDING,eea16b21-d94f-4add-a396-5bd9fbceb2a7,9cab028f-1a46-4c3a-bcc6-9bc4bb67b8b0,0
