id,created_by,created_date,updated_by,updated_date,is_accepted_by_admin,is_rejected_by_admin,is_report_to_admin,rating,rating_text,type,jobdetail_id,jobsite_id,project_id,user_submitted_by_id,user_submitted_to_id,safety_rating
06e41c8d-f548-433c-8714-b27ad4c653b4,NULL,2024-08-08 10:01:02,NULL,2024-08-08 10:01:02,_binary '0',_binary '0',_binary '0',3,Testing reviewn,JOBSITE,NULL,225e0d98-8eb2-4b85-a3da-5dd7831a9652,0d42b62a-d2c1-44ab-806c-57280cd2d05a,a3d2b1e9-d64f-46b7-85f5-af83442a5547,c8367fc3-d459-4b83-b48b-37521e6d4795,0
07b7725b-53a9-4e78-98ea-2ae0a4603f4f,NULL,2024-07-10 05:43:32,NULL,2024-07-10 05:43:32,_binary '0',_binary '0',_binary '0',3,"The standard Lorem Ipsum passage, used since the 1500sn""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur",JOBSITE,NULL,5610ed09-7836-4963-9ec9-352b4ebe183e,2e402574-1412-4b09-a72c-3b5f821f0fd7,c8367fc3-d459-4b83-b48b-37521e6d4795,a3d2b1e9-d64f-46b7-85f5-af83442a5547,3
0833fb89-b832-4f7e-8359-0bf62b2e1dc0,NULL,2024-02-01 07:24:59,1ec5afe3-043f-45dd-8f4c-7a84d55db398,2024-02-01 07:26:32,_binary '0',_binary '0',_binary '0',3,Excellent,JOBS,ceaa2e1a-cea1-472f-845f-339a71a53439,NULL,NULL,1ec5afe3-043f-45dd-8f4c-7a84d55db398,8d250d37-5fe6-4b9c-b0cd-10fc41594c05,5
08de6f6f-4a9a-4d69-8a56-638ad40176c6,NULL,2024-07-10 05:43:59,NULL,2024-07-10 05:43:59,_binary '0',_binary '0',_binary '0',3,"The standard Lorem Ipsum passage, used since the 1500sn""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur",JOBSITE,NULL,69d56ef3-d857-4951-a071-c8c31717438a,108eae7e-51e9-439a-bd11-45632431af64,c8367fc3-d459-4b83-b48b-37521e6d4795,bfe47d0d-3682-4536-8d0b-cb82274ae3dd,1
0dfe7ae4-f66b-4982-b39e-060cbaa37c2d,NULL,2024-06-18 10:16:27,NULL,2024-06-18 10:16:27,_binary '',_binary '0',_binary '',3,test,JOBSITE,NULL,3995e466-b622-4eec-ad00-b4fda7d7b2c8,93d72532-a1ea-4ebf-bdd4-5acaca70a4f5,c8367fc3-d459-4b83-b48b-37521e6d4795,a3d2b1e9-d64f-46b7-85f5-af83442a5547,3
1903af14-4ac5-4265-9f35-76425c98f3fa,NULL,2024-03-20 11:11:06,NULL,2024-03-20 11:11:06,_binary '0',_binary '0',_binary '0',3,review 1,JOBS,8fbcbff1-64ff-458a-9397-341c916c7bd5,NULL,NULL,1ec5afe3-043f-45dd-8f4c-7a84d55db398,c8367fc3-d459-4b83-b48b-37521e6d4795,0
1db75ef1-35bf-441f-bdfb-cb5ee05efc18,NULL,2024-08-08 10:00:38,NULL,2024-08-08 10:00:38,_binary '0',_binary '0',_binary '0',3,Testing review ,JOBSITE,NULL,5610ed09-7836-4963-9ec9-352b4ebe183e,2e402574-1412-4b09-a72c-3b5f821f0fd7,a3d2b1e9-d64f-46b7-85f5-af83442a5547,c8367fc3-d459-4b83-b48b-37521e6d4795,0
1f36a94b-ad2a-4a14-9405-07c8e104ba8c,NULL,2024-07-10 05:34:45,NULL,2024-07-10 05:34:45,_binary '0',_binary '0',_binary '0',4,ppp,JOBS,b3c26193-5895-4ea5-9395-fe434fca0d9b,NULL,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,9a7343fd-400c-4d9c-9337-36f169d4d659,3
1ff1c225-2da4-4fcc-a78f-cdf6a7844bad,NULL,2024-07-10 05:46:52,NULL,2024-07-10 05:46:52,_binary '0',_binary '0',_binary '0',3,"The standard Lorem Ipsum passage, used since the 1500sn""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et ",JOBSITE,NULL,3995e466-b622-4eec-ad00-b4fda7d7b2c8,93d72532-a1ea-4ebf-bdd4-5acaca70a4f5,a3d2b1e9-d64f-46b7-85f5-af83442a5547,c8367fc3-d459-4b83-b48b-37521e6d4795,0
2c4d0481-b313-4473-bf12-824a8a9f9f04,NULL,2024-07-10 05:35:17,NULL,2024-07-10 05:35:17,_binary '0',_binary '0',_binary '0',4,yrtg,JOBSITE,NULL,54216908-e64b-45ab-bca2-32b457136adb,2e402574-1412-4b09-a72c-3b5f821f0fd7,c8367fc3-d459-4b83-b48b-37521e6d4795,a3d2b1e9-d64f-46b7-85f5-af83442a5547,4
