id,created_by,created_date,updated_by,updated_date,is_power_user,is_yellow_hard_hat,point,role,submitted_date,user,user_rank
0002f556-9f8b-4cb4-96ce-41ce8896edb6,NULL,2025-05-01 04:00:50,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,8076386d-4e67-49cf-8046-c7f838c99fc5,5
000689d8-77d6-42cc-81f1-83233505b2c7,NULL,2025-05-01 04:02:04,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,4986376b-351c-4782-8535-2ea3d6976d82,5
001d6989-6146-4ae8-b3b2-9fc87aeb9a56,NULL,2025-05-01 04:00:38,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,2e6078e5-a785-4940-9643-70d6de3915fd,5
0021ec28-6b27-45e0-b7ac-4aa3291a7b10,NULL,2025-05-01 04:01:08,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,9b78a162-3fc3-4518-bfb1-18793f104a2d,5
00226082-b294-4feb-b2f3-4d4c547aaaeb,NULL,2025-05-01 04:00:19,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,bc4d69ee-0a41-42dd-a7c2-47531f3c5965,5
00242af4-4138-4256-8dbb-30b40e03f487,NULL,2025-05-01 04:00:25,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,9c0e046f-d5be-42ff-a52d-916bde7338dc,5
0031f83e-b8c1-4a6e-88c1-1c43e272399d,NULL,2025-05-01 04:00:56,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,00bb7046-c0d5-4164-b99b-8a72ce7004cd,5
005bd34e-5b7a-4b23-a467-40af819cecd1,NULL,2025-05-01 04:00:33,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,5b188533-93df-4f0d-9342-8eaa86d1b294,5
005e57ab-f2ca-46e2-8ee2-0efe35094ad2,NULL,2025-05-01 04:01:31,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,f00fca1c-68fd-4c1c-abad-86173600cba2,5
006304a6-5066-4481-8850-84cb3bc4628a,NULL,2025-05-01 04:01:29,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,31f7a412-3067-4842-a827-864c13830ef0,5
0066af02-6f16-470f-8333-eb5f42f826c8,NULL,2025-05-01 04:02:01,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,e04d5039-9ce5-4eae-97c2-b54e9659c897,5
006fcb95-5ff8-4c2f-b6c6-120ea5734dc6,NULL,2025-05-01 04:00:58,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,c5bfd7f1-3bef-4308-a0db-92180b98710a,5
00780692-f9a6-4c6b-9856-20cebcbfcd99,NULL,2025-05-01 04:00:25,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,a781fc2f-de75-4729-80e1-c7464d3c4070,5
007dd50c-ac0b-4519-be61-c253158a0d19,NULL,2024-08-14 07:52:03,NULL,NULL,_binary '0',_binary '0',55,WORKER,2024-08-14 07:52:03,9e11456c-f0f6-48c7-9cbf-6f4447379727,1
0086be9b-8bfc-41a8-a86e-c97afb5fa3ff,NULL,2025-05-01 04:00:08,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,d6fda822-8b55-4866-a02c-473def7b272e,5
008cde03-c55c-487c-b994-a6d880f3c3f2,NULL,2025-05-01 04:00:12,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,62c0af58-4900-4e52-99ad-52e31aa5d5a0,5
00a07ed4-858f-48e3-960a-61d02da09415,NULL,2025-05-01 04:01:31,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,568a2319-67d9-43e2-98a5-93bfb44ac889,5
00adb6bf-7c02-460f-9a24-e11e6238ca89,NULL,2025-05-01 04:01:48,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,93b14ff3-2137-4ca4-a7cd-eb8c7a0e003f,5
00bb6d62-f160-4de3-9d80-ebfb4b9863c6,NULL,2025-05-01 04:02:00,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,87e767ea-83e1-487a-aa11-16d686b9d408,5
00bd5141-5af6-453e-a975-2bc01722b333,NULL,2025-05-01 04:01:03,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,ba1e8944-07b0-4794-9d9e-62b6c1dd4c9b,5
00c7ef8c-fbe4-4f17-8075-23be87f809a3,NULL,2025-05-01 04:00:33,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,c3c1c06f-2263-42ab-b801-e69b4bcd8baf,5
00d01e20-6f91-46c3-8614-19183fc95031,NULL,2025-05-01 04:01:50,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,7a45ba51-8c69-471b-8ce0-ece780dad7fc,5
00d9f89b-507c-46b7-953f-8090424ec244,NULL,2025-05-01 04:02:04,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,0f326a03-254a-4a59-acb2-4faae8f6ccb7,5
00dd1842-03b6-430d-8b1b-12afa6d42d10,NULL,2025-05-01 04:00:10,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,f2848d56-2956-4f9b-ba2a-0e658de1a86b,5
00e3125c-a484-4691-9259-f332e69eed8e,NULL,2025-05-01 04:01:34,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,1030a548-67d9-4a14-984d-b67843f7d04e,5
00e3fbe7-e3c4-4326-8c38-6c97c1620683,NULL,2025-05-01 04:00:49,NULL,NULL,_binary '0',_binary '0',10,WORKER,2025-05-01 04:00:03,df97bb79-e372-41ca-b05e-5756ead785ef,5
