id,created_by,created_date,updated_by,updated_date,change_request_status,cost,line_item,quantity,unit,change_request_id,amount
01d42f36-594d-4eda-81df-642100a30c43,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:15:39,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:15:39,_binary '',11111,0be556ea-0a38-4276-b4ae-21c1b887bc3d,10,25287602-4727-4b94-8f8c-35d7676fc7e5,76128f31-b547-41ec-bfa1-adf020530cb5,111110
021762f6-a43f-4c67-8a5c-1c93ebd7a2aa,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:23:37,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:23:37,_binary '',11111,0be556ea-0a38-4276-b4ae-21c1b887bc3d,10,25287602-4727-4b94-8f8c-35d7676fc7e5,60fbfc71-c63e-4007-b444-6876b0b9aeca,111110
0505b046-809a-48dd-9814-096be75a40a1,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:30:16,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:30:16,_binary '',11111,0be556ea-0a38-4276-b4ae-21c1b887bc3d,10,25287602-4727-4b94-8f8c-35d7676fc7e5,f6ad2ebb-9ed3-4ce5-b9ed-901d73f27ed0,111110
0737bec8-97aa-4b7a-8a45-080ed92e5f1e,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-27 12:51:37,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-27 12:51:37,_binary '',1,b7817aff-a79b-4cf7-a534-c3b39b47dde3,1,3a34a3dd-ddd0-4554-9d19-6501b5bd3dcb,b664ea97-2840-46d5-b19e-f3927d69e33f,1
091a0dc2-03c0-4238-9e81-936b0b4b6d5e,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:05:59,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:05:59,_binary '',11111,0be556ea-0a38-4276-b4ae-21c1b887bc3d,10,25287602-4727-4b94-8f8c-35d7676fc7e5,3c6f5b11-0243-4d79-9f3e-bee072186958,111110
09efe25a-6b5d-4d19-8bca-fccf99706e9b,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-03-28 05:08:37,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-03-28 05:08:37,_binary '',100,4032b56a-5e99-47a3-9d95-4e8cb9b337c1,1000,3a34a3dd-ddd0-4554-9d19-6501b5bd3dcb,ddb23877-e706-4836-bfc8-79351e18ca69,100000
0b383110-abc9-42df-a6fd-52dabad021e1,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 03:08:49,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 03:08:49,_binary '',11111,0be556ea-0a38-4276-b4ae-21c1b887bc3d,10,25287602-4727-4b94-8f8c-35d7676fc7e5,cc42a5a3-c588-4286-8884-137e922584f4,111110
0b602d09-a4fc-44fc-89e7-9b3a999d0bb0,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-01-30 05:33:34,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-01-30 05:33:34,_binary '',64,b1ea2429-d3a9-46bb-8e6c-5a01e67132f5,52,53511119-55ee-4add-9d8c-a8ca8da35b59,df01bb09-2711-44f5-9a33-d51ab1565725,3328
0dfabf81-8f68-4f19-9311-16695a3bb5d0,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-02-12 09:45:53,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-02-12 09:45:53,_binary '',65,7defded9-c829-468a-8894-42b88e2718ad,22,3a34a3dd-ddd0-4554-9d19-6501b5bd3dcb,04017365-feaa-4ae3-97c6-bc7e400b2d4c,1430
11bc61f9-ba60-4923-af5b-5473c04bb886,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-22 11:02:31,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-22 11:02:31,_binary '',11,d3a5d19d-fee8-4c7d-8328-196f69bd76ef,10,25287602-4727-4b94-8f8c-35d7676fc7e5,489ab017-d314-432e-a1bd-2dd4f5057b96,110
1345ff40-2c1a-4bac-acbc-db6ba9808e6b,c1e99329-85c4-457f-9e56-40760d57aff5,2024-02-12 09:55:35,c1e99329-85c4-457f-9e56-40760d57aff5,2024-02-12 09:55:35,_binary '',6,f1784f97-22e4-4e89-8cfb-4e9791874e6b,1,3a34a3dd-ddd0-4554-9d19-6501b5bd3dcb,41fce1f4-758c-4605-8ba3-151c4243435f,6
