id,created_by,created_date,updated_by,updated_date,amount,has_advance_payment,name,percentage,change_request_id,jobsite_id
006039eb-c568-4fbe-b6c6-f659a25b84f0,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-24 05:11:17,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-24 06:12:57,14640,_binary '0',Electrical Wiring and Connectivity Check,20,NULL,e8b21e60-7562-4a62-886a-6b0438570f8c
00db75cb-9fb2-4f42-86dc-5d88abdae10a,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2023-09-18 05:23:51,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2023-09-18 05:23:51,1200,_binary '0',MS1,30,NULL,d56df0db-c4d2-467c-85e0-ec7901fa2efd
011dd5c0-83e7-4fc9-a039-a11a5cc237ab,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,0,_binary '0',M2,100,NULL,69585f46-6178-4f2e-8a81-ef8bc61dd750
012885d4-017f-4f79-99af-a88efc62967a,c8367fc3-d459-4b83-b48b-37521e6d4795,2022-11-10 06:03:28,c8367fc3-d459-4b83-b48b-37521e6d4795,2022-11-10 06:03:28,5000,_binary '0',Closeout Package,100,NULL,76e62fbc-227b-4d80-a669-3cd6224aa4bb
0194e576-97a2-40db-80af-dc9109f55a29,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,0,_binary '0',M2,100,NULL,358a4d6e-555e-4d59-9596-fb44807fea35
01e9ba68-cc0c-4641-bd99-95687d8ec6b8,3f8eb79e-f046-4317-adee-7b916a3ee09e,2024-02-07 05:27:17,3f8eb79e-f046-4317-adee-7b916a3ee09e,2024-02-07 05:27:17,111,_binary '0',PRP M1,100,NULL,4a03fcc9-d550-4d16-b07f-2bbd27eeca38
0290d58d-9a89-4a3c-af8a-38dc90353af3,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-18 04:00:45,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-18 04:00:45,0,_binary '0',ms,100,NULL,622ffc61-8243-465c-a58a-f167c0f9748f
030fbd4e-6955-45e6-a29c-9dd7426a686e,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2023-09-18 05:20:49,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2023-09-18 05:20:49,1200,_binary '0',ms2,60,NULL,713b6fe9-587f-4253-bd26-c9e09c7e85c8
036ff258-9a17-469d-b611-a00efd168adb,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-19 09:06:43,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-19 09:06:43,99,_binary '0',MS,100,NULL,b3a35b25-ac31-4e02-8d7c-00c41e976af1
03c81499-d084-456a-af8c-d3f1e1d9c8a2,3f8eb79e-f046-4317-adee-7b916a3ee09e,2024-02-07 05:27:17,3f8eb79e-f046-4317-adee-7b916a3ee09e,2024-02-07 05:27:17,111,_binary '0',PRP M1,100,NULL,74c1e01a-9962-4edd-a0c2-02f73f7600cc
03e432ae-9fe1-4714-8153-77e06c85fa81,c8367fc3-d459-4b83-b48b-37521e6d4795,2023-09-05 10:54:10,c8367fc3-d459-4b83-b48b-37521e6d4795,2023-09-05 10:54:10,500,_binary '0',MS1,100,NULL,6c54f43c-997b-4271-ac92-b1dce6beaeaf
0401431f-3789-40fd-9fce-4ce9c1437a9f,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-10 12:39:50,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-10 12:39:50,777,_binary '0',MS,100,NULL,c94e248c-71b0-48d1-b1cb-9908aa708acc
040805b8-4cbd-4caf-b777-c12b83ec130c,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-31 11:38:56,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-31 11:38:56,53.2,_binary '0',LoginMS,70,NULL,a1093eb9-1c60-4296-9a22-ba4d5c349cea
04c9466d-cb0e-484c-bc9c-7d48784a4ff4,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-21 05:03:30,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-21 05:03:30,1111111111,_binary '0',MS,100,NULL,5af4fa35-5fcc-4ae8-a4f9-2004c660ce1b
0516f430-622f-40a6-9474-cc782f088278,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,0,_binary '0',M2,100,NULL,c14c0f3b-9b84-47c4-9ea1-2359d8d00da4
055b9811-aec6-4714-8609-f403be4954fa,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-28 10:47:22,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-28 10:47:22,207800,_binary '0',Electrical Integration,20,NULL,87a364a5-c7b2-4f94-8897-35d5bb8453e0
055c2d27-5bd2-4d41-b36a-0f1269c79729,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-07-09 06:05:20,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-07-09 06:05:20,11,_binary '0',Login1,100,NULL,876d21b5-6e30-492c-a9b4-952412c4ec13
0609ee9b-8e04-40dd-9435-ca520d1dff10,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-24 10:37:48,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-24 10:37:48,71,_binary '0',ms,100,NULL,ea6cf50e-9945-42bb-8ddb-54d0c285174d
06f17d3e-0028-4de7-9aca-7f98a0dc34e4,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-08 12:16:46,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-08 12:16:46,26.5,_binary '0',	Milestone Name2,50,NULL,da57dc8d-5047-4897-a804-28617ceab04e
070386bf-8f0c-4c76-9942-320667be49ad,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-28 09:33:57,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-28 09:33:57,777,_binary '0',ms,100,NULL,c60e523a-5506-450e-968d-251e6e05b85c
07043d42-f9d1-46e2-8b2a-2181b7cebef6,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-03 11:19:48,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-03 11:21:44,671,_binary '0',MS,50,NULL,cc7fc76a-698c-45a4-9a8e-0b53515e6eb0
07047a62-1454-4450-8537-a15bbec6fd29,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,0,_binary '0',M2,100,NULL,be74eb83-c11a-4d77-aba2-9963eb2e65a0
07fd6ee8-78b5-427d-bc92-dea8aa7cec3a,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-27 09:59:32,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-27 09:59:32,19555360,_binary '0',tes2,100,b1d7e854-8f0c-4164-aa20-fae7909d61d0,4187013b-d1c5-4fcf-bbf8-04eb187fea4a
07fef1e0-6c62-4c48-a3d3-ae14bc51d9bd,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-23 10:52:45,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-23 10:52:45,44,_binary '0',MS,100,NULL,aab76978-8ba9-4f32-add3-b04a70cb761b
08e422c1-77b7-44ad-904e-f81e690268ea,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-03 10:13:49,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-03 10:15:18,805.2,_binary '0',MS,60,NULL,79985159-46d0-4693-a449-8cf991711b21
08ffba9f-aaff-4648-a443-075e8db2e622,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-30 04:12:32,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-30 04:12:32,757.5,_binary '0',Electrical & Inverter Setup,20,NULL,38517562-0282-47e0-ac50-f005018f4fea
0903e300-f13d-444b-a49d-20f5540d0cd3,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-24 05:06:18,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-24 06:12:29,492.78,_binary '0',Solar Panel Procurement Completed	,30,NULL,db9cdfad-428e-443e-9692-360313531041
09ef6d8b-775f-40f2-9362-1438954111a8,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-18 09:29:21,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-18 09:29:34,777,_binary '0',ms,100,NULL,da46288a-f81e-42c7-9268-240c1d67b836
0a506474-d05e-47be-b842-32ce1ecb1ff4,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:29:57,0,_binary '0',M2,100,NULL,271519d7-b299-4e07-98c3-d3f3f959d4b4
0b0749d5-0545-4331-ac82-625a64993ac1,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-24 05:06:18,c0f385bf-790f-431d-8dc4-1bf83ba3a392,2025-04-24 06:12:30,657.04,_binary '0',Wiring and Testing Completed	,40,NULL,6dd42c44-8644-4c20-a5a6-458b5c7ccc10
0b0a393e-7877-41c4-b513-c049947e7da6,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-14 13:00:50,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-14 13:01:47,0,_binary '0',HourlyJobSwiggyMS,100,NULL,f0955828-bba2-4d45-990a-4b0acd07720d
0b6961c6-6536-4b05-9db6-5f2f089bb2a6,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-03-01 09:40:58,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-03-01 09:40:58,1000,_binary '0',PRP TEST2 01-03-2024,100,NULL,2704aa96-6ccd-4f80-8adf-8766f2123eb3
0b906142-8d50-4ded-a557-8e127bd8b9a3,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-15 03:54:32,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-15 03:54:32,777,_binary '0',mS,100,NULL,2dddbdab-38ca-40b6-a24b-30a1a1d1fc09
0b982c66-85a4-4d83-908f-22b7f49f4733,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-21 05:38:04,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-21 05:38:04,777,_binary '0',MS,100,NULL,34464ed2-8082-4659-ab79-17e21360a21f
0bfc7bbf-107c-45cd-a080-4b098eb97316,c8367fc3-d459-4b83-b48b-37521e6d4795,2022-11-29 09:52:32,c8367fc3-d459-4b83-b48b-37521e6d4795,2022-11-29 09:53:57,60,_binary '0',MS2,30,NULL,229ffc42-d045-40bc-86ba-4de491ac66de
