id,created_by,created_date,updated_by,updated_date,cost,description,reason_to_reject,status,title,jobsite_id,project_id,raised_by_id,raised_to_id
01f16eaf-dad3-478b-a944-d9602148bd1e,c1e99329-85c4-457f-9e56-40760d57aff5,2024-05-09 09:33:13,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-13 10:23:08,440,"The standard Lorem Ipsum passage, used since the 1500sn""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",NULL,APPROVED,Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor ncididunt ut labore et ,68c05c14-2529-46b3-8168-3d4fc3f19766,52506704-1d22-423e-a545-db2269769851,c1e99329-85c4-457f-9e56-40760d57aff5,c8367fc3-d459-4b83-b48b-37521e6d4795
04017365-feaa-4ae3-97c6-bc7e400b2d4c,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-02-12 09:45:53,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-02-12 09:45:53,80,Testing request,NULL,PENDING,Test,2874b74f-1077-413e-b9c1-ec45ff771f03,2e402574-1412-4b09-a72c-3b5f821f0fd7,a3d2b1e9-d64f-46b7-85f5-af83442a5547,c8367fc3-d459-4b83-b48b-37521e6d4795
090d99f3-dae8-446b-9184-7d61aac63f1b,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-03-27 05:45:55,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-03-28 07:27:13,0,PRP TEST Change request from subcontractor side,NULL,PENDING,PRP TEST Change request from subcontractor side,d0bdd6ab-452c-4412-b1f8-71760d50ac11,9f334f04-478c-4f50-ba10-bf0f8c5dd841,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,c8367fc3-d459-4b83-b48b-37521e6d4795
0a83b890-ef12-4d55-93b0-0a2a39bbf3f1,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 09:16:57,73c35bda-c637-4513-a758-b9491df12540,2024-08-28 09:20:03,12210,prp test 1223,NULL,REJECTED,prp test 1223,49a53b14-21ff-44b0-8eb1-c6efb304ea27,7f1d525e-5f18-46ce-9a46-9388a2d8b013,b91189e3-47b3-44b1-a685-0252e97c7d1c,73c35bda-c637-4513-a758-b9491df12540
0b6123bc-683d-418b-a3ee-60969cb59f34,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-03-27 04:38:04,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-03-27 04:38:04,0,prp change request from client side,NULL,PENDING,prp change request from client side,cabbfb36-bed4-4d8e-9e29-821172b7626e,f1f0047d-c246-4dd3-a40d-25ea4c582036,c8367fc3-d459-4b83-b48b-37521e6d4795,1c414d9d-c37d-47cd-9f7d-882d51abb8e6
0c6291e6-701b-4385-be54-003fa1d23e3b,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-27 01:54:29,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-04-04 06:12:04,0,cppp,NULL,APPROVED,kkk,225e0d98-8eb2-4b85-a3da-5dd7831a9652,0d42b62a-d2c1-44ab-806c-57280cd2d05a,c8367fc3-d459-4b83-b48b-37521e6d4795,a3d2b1e9-d64f-46b7-85f5-af83442a5547
0db5da56-ad40-437e-b66d-9057364860f1,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:11:12,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 01:11:12,111110,prp test change request,NULL,PENDING,prp test change request,49a53b14-21ff-44b0-8eb1-c6efb304ea27,7f1d525e-5f18-46ce-9a46-9388a2d8b013,b91189e3-47b3-44b1-a685-0252e97c7d1c,73c35bda-c637-4513-a758-b9491df12540
0e13dca1-0916-4cf6-9d80-678dac5f1f37,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-08-22 07:22:25,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-08-22 07:22:25,1,Test,NULL,PENDING,test,99b3463a-cfbb-4feb-bf3d-98d6ad213efa,504436b5-eb7c-4a98-9de2-dfeff92bd595,8e9967a6-5915-45d4-a25e-11b1876d18df,b91189e3-47b3-44b1-a685-0252e97c7d1c
0e2a0a35-5b56-4d68-81a0-64719ccee23c,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-08-22 09:28:28,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-08-22 09:34:53,110,Test,NULL,PENDING,Test,15dba020-0c20-4d17-b8c7-02203ae3250a,0fdf5fbd-b395-4da2-85c1-90e89d48d4ec,8e9967a6-5915-45d4-a25e-11b1876d18df,c8367fc3-d459-4b83-b48b-37521e6d4795
123ca800-ca68-46b4-b9cf-c1886c63241e,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-04-04 10:04:12,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-13 10:23:23,100,HSZ Test from sub for jobsite 2,NULL,REJECTED,HSZ Test from sub for jobsite 2,3adb2b79-1b51-4c9b-98e0-cfcd20ff2119,2e59f3f8-4b69-4851-ab96-866ff01995a6,8e9967a6-5915-45d4-a25e-11b1876d18df,c8367fc3-d459-4b83-b48b-37521e6d4795
132e7679-27d1-43ab-80ef-a0ad3f913036,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-23 11:14:05,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-08-22 07:23:39,100,"The standard Lorem Ipsum passage, used since the 1500sn""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",NULL,REJECTED,Test,feacb584-f45b-4265-8568-4bce7584ee00,ec77fca4-82ea-4974-adfc-1d5bf9825529,b91189e3-47b3-44b1-a685-0252e97c7d1c,8e9967a6-5915-45d4-a25e-11b1876d18df
17e04c25-9418-45ea-82f9-c9eb569b177c,3f8eb79e-f046-4317-adee-7b916a3ee09e,2024-04-17 12:08:16,3f8eb79e-f046-4317-adee-7b916a3ee09e,2024-04-17 12:08:16,660,edf,NULL,PENDING,ppp,fdce8ccf-2cf4-472a-a701-8cd0e1f49d4b,95651905-3055-4d23-8f64-8a4ab10f38ef,3f8eb79e-f046-4317-adee-7b916a3ee09e,73c35bda-c637-4513-a758-b9491df12540
1af78d7a-777d-4682-aa3b-88247932b0eb,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-28 03:20:43,73c35bda-c637-4513-a758-b9491df12540,2024-08-29 09:01:34,111110,prp123454,NULL,APPROVED,prp123454,49a53b14-21ff-44b0-8eb1-c6efb304ea27,7f1d525e-5f18-46ce-9a46-9388a2d8b013,b91189e3-47b3-44b1-a685-0252e97c7d1c,73c35bda-c637-4513-a758-b9491df12540
20aadb5b-f122-41b5-af34-8ea87cf95d27,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-10 07:18:17,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-10 07:18:17,1,"The standard Lorem Ipsum passage, used since the 1500sn""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",NULL,PENDING,This is change request from subcontactor,430cc041-790d-4e8c-b062-e577b8318ceb,59ce6d4c-1e47-4035-83d8-0e3fc5871ffa,8e9967a6-5915-45d4-a25e-11b1876d18df,b91189e3-47b3-44b1-a685-0252e97c7d1c
2121ddcb-315c-4ff8-bcaa-f06370408322,73c35bda-c637-4513-a758-b9491df12540,2024-08-22 10:54:02,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-22 10:59:23,2471975,pppp,NULL,APPROVED,devloper,4187013b-d1c5-4fcf-bbf8-04eb187fea4a,78f3ee77-0d06-4391-85a5-bb36eca4a377,73c35bda-c637-4513-a758-b9491df12540,b91189e3-47b3-44b1-a685-0252e97c7d1c
