id,created_by,created_date,updated_by,updated_date,reason,change_request_id
00aa930c-5526-40f4-b112-e5bf2b4624fe,c1e99329-85c4-457f-9e56-40760d57aff5,2024-02-26 10:09:12,c1e99329-85c4-457f-9e56-40760d57aff5,2024-02-26 10:09:12,sadasd,8e0ccfd6-cdd9-4c5d-96f4-91bb0da5f536
05d40051-c476-4ba9-8a08-859cb6f1c063,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-05-09 09:24:52,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-05-09 09:24:52,Test,750c1f3d-5487-49d7-aba0-e9c67a1e737a
0f80b7ea-a45f-4371-bdbc-c7d16e5ff69d,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-08-22 09:45:01,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-08-22 09:45:01,test,a0fd2634-98a2-4241-a848-0b310ff0213b
1f69628f-2cf8-41f0-8f3a-b95a181f9c2f,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-08-22 07:23:39,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-08-22 07:23:39,test,132e7679-27d1-43ab-80ef-a0ad3f913036
288c6c33-cedd-4695-8785-17171409a5a2,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-05-09 09:26:32,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-05-09 09:26:32,test,66ac8d86-efe5-4769-bda6-03f94e17dc4d
4fb9e1b9-448b-482c-a458-9f9b8e1faf1d,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-13 10:23:23,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-06-13 10:23:23,test,123ca800-ca68-46b4-b9cf-c1886c63241e
9d5b05e1-29e8-4e8a-a3ee-e8d417492878,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-12 10:00:28,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-12 10:00:28,test,41fce1f4-758c-4605-8ba3-151c4243435f
ad326046-86c8-41e5-a71d-73f21b8d31f5,c1e99329-85c4-457f-9e56-40760d57aff5,2024-08-22 07:26:56,c1e99329-85c4-457f-9e56-40760d57aff5,2024-08-22 07:26:56,test,649f5649-91dc-42a7-bf24-57216d293c31
be746d6c-b693-4004-b680-c829023effa7,c1e99329-85c4-457f-9e56-40760d57aff5,2024-05-09 09:21:40,c1e99329-85c4-457f-9e56-40760d57aff5,2024-05-09 09:21:40,Reject,fdd4851b-3e27-44b0-94bc-af96fcc9b32f
f0179251-7225-4fff-897d-e10e02ea4165,73c35bda-c637-4513-a758-b9491df12540,2024-08-28 09:20:03,73c35bda-c637-4513-a758-b9491df12540,2024-08-28 09:20:03,frdt,0a83b890-ef12-4d55-93b0-0a2a39bbf3f1
f168c3c4-69ec-4296-bcda-330edfa63176,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-08-22 09:40:38,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-08-22 09:40:38,test,31d4df35-3eeb-4bf9-a216-910b698d2661
