id,created_by,created_date,updated_by,updated_date,accepted_date,content,document_name,document_path,is_accepted,is_active,msa_type,type,version,accepted_by_id,user_id
00213739-bb2f-48bb-b3b5-7e87e7e895d7,01,2023-11-15 13:31:20,01,2023-11-15 13:31:20,NULL,<p><strong>Project Test MSA</strong></p>,NULL,NULL,_binary '0',_binary '',GLOBAL,PROJECT,1,NULL,e7fadb1e-b5ab-4f38-bd66-0be73b4a7ac2
00693699-f70f-43e9-9179-e2326402d673,01,2022-01-27 14:12:44,01,2022-01-27 14:12:44,NULL,<p>Job Project MSA 2</p>,NULL,NULL,_binary '0',_binary '',GLOBAL,JOBS,2,NULL,3e9d3507-2607-42aa-af50-55766dae2f1b
0459a790-0080-4185-952b-83227ee6ad90,01,2023-08-23 11:02:07,01,2023-08-23 11:02:07,NULL,<p><strong>Jobs Test MSA</strong></p>,NULL,NULL,_binary '0',_binary '',GLOBAL,JOBS,1,NULL,68176fd4-4cc0-41e5-94db-24664335e23c
0995057d-257f-4632-9360-e36a7433bc93,01,2024-06-27 05:53:42,01,2024-06-27 05:53:42,NULL,<p><strong>Jobs Test MSA</strong></p>,NULL,NULL,_binary '0',_binary '',GLOBAL,JOBS,1,NULL,a32e45dd-7c22-4d76-ae90-55bc3041af96
09c20a8c-e3ea-4ce3-a4e0-493627e3191c,01,2023-08-17 09:48:07,01,2023-08-17 09:48:07,2023-08-17 10:09:46,<p><strong>Project Test MSA</strong></p>,MSA_1.pdf,IconicWorkerUserImages/600b5e25-ece0-4776-b12b-0eabae3c138b,_binary '',_binary '',GLOBAL,PROJECT,1,19430a8c-6324-4105-8fc5-b7973e8f5d7f,19430a8c-6324-4105-8fc5-b7973e8f5d7f
0aca89e8-7a76-48ae-b102-45d9375637ea,01,2024-02-05 22:21:21,01,2024-02-05 22:21:21,NULL,<p><strong>Project Test MSA</strong></p>,NULL,NULL,_binary '0',_binary '',GLOBAL,PROJECT,1,NULL,8dc66437-6632-4e65-b8cc-4fbad0b92150
0ad2c63e-1292-47c7-be1b-96033a90075c,01,2023-07-07 12:56:12,01,2023-07-07 12:56:12,NULL,<p>Job Test MSA 2</p>,NULL,NULL,_binary '0',_binary '',CUSTOMIZED,PROJECT,2,NULL,6fc0c13d-a9c1-4d27-8531-883c721e1034
0b63e7be-ecb8-4aa2-a332-e17c9f2cd638,01,2024-05-06 11:17:15,01,2024-05-06 11:17:15,NULL,<p><strong>Jobs Test MSA</strong></p>,NULL,NULL,_binary '0',_binary '',GLOBAL,JOBS,1,NULL,0e53e993-c3f9-4141-9d42-57dabd98d970
0c0e0ef3-b179-4eb1-8523-8dc57b38bafb,01,2021-10-01 07:09:00,01,2022-01-27 14:10:53,NULL,<p><strong>Project Test MSA</strong></p>,NULL,NULL,_binary '0',_binary '0',GLOBAL,PROJECT,1,NULL,3e9d3507-2607-42aa-af50-55766dae2f1b
10180239-bf46-4583-8f29-59ee99ae9b64,01,2022-01-28 10:26:06,01,2022-01-28 10:26:06,NULL,<p>Job Project MSA 2</p>,NULL,NULL,_binary '0',_binary '',GLOBAL,JOBS,2,NULL,0a62ef86-1190-4922-977b-b4ae61ba5633
