id,created_by,created_date,updated_by,updated_date,bid_due_date,completion_date,cost,is_negotiable,is_save_as_draft,last_saved_step,latitude,longitude,project_cancelled_date,project_completed_date,project_posted_date,region,start_date,state,status,title,type,assigned_to,company_id,industry_id,supervisor,user_id,attachment_link,project_number,is_single_jobsite
0033cb83-cd09-412c-a6e8-1eb4f3918d0f,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:23:54,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-08-22 10:59:34,2024-07-19 18:30:00,2024-09-26 18:30:00,25,_binary '',_binary '0',0,0,0,NULL,NULL,2024-08-22 10:59:34,Mid-Atlantic,2024-09-20 18:30:00,Alabama,IN_PROGRESS,Test 2208,OPEN_MARKET_REQUEST,8e9967a6-5915-45d4-a25e-11b1876d18df,619867e5-7ce0-4139-95cc-a8af62240896,aa3d743f-9d22-4f3d-a47d-7ba562198f6d,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,7637,0
003e101c-a626-41d9-b268-7f186ba13a4f,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-10 05:13:46,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-10 05:13:46,2024-04-20 18:30:00,2024-04-29 18:30:00,0,_binary '',_binary '',0,0,0,NULL,NULL,NULL,Mid-West,2024-04-22 18:30:00,Arizona,DRAFT,Jobsitepro,OPEN_MARKET_REQUEST,NULL,NULL,5497877d-e632-46ae-8823-272f5073c085,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,2938,0
00e8966b-6f43-44f0-993c-c36282eb2559,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-03 10:12:17,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-17 04:17:24,2024-07-15 18:30:00,2024-07-29 18:30:00,1342,_binary '',_binary '0',0,0,0,NULL,NULL,2024-07-17 04:15:28,North-West,2024-07-20 18:30:00,California,IN_PROGRESS,Dominant Infotech,PRIVATE_REQUEST,NULL,NULL,aa3d743f-9d22-4f3d-a47d-7ba562198f6d,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,8228,0
00e9dce0-0409-4a66-9799-b90f4b4fca89,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2024-01-17 06:25:10,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2024-01-17 06:26:35,2024-01-17 18:30:00,2024-01-21 18:30:00,0,_binary '',_binary '0',0,0,0,NULL,NULL,2024-01-17 06:26:35,Mid-Atlantic,2024-01-18 18:30:00,Alabama,POSTED,Mid jan project,OPEN_MARKET_REQUEST,NULL,NULL,aa3d743f-9d22-4f3d-a47d-7ba562198f6d,NULL,19430a8c-6324-4105-8fc5-b7973e8f5d7f,,8708,0
00ffcd17-3639-443f-b3f8-4eba0295f2a8,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-02 09:18:33,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-02 10:57:38,2024-04-08 18:30:00,2024-04-22 18:30:00,0,_binary '',_binary '0',0,0,0,NULL,NULL,2024-04-02 10:57:38,North-West,2024-04-13 18:30:00,Hawaii,POSTED,Tsheetproject_1,PRIVATE_REQUEST,NULL,NULL,5497877d-e632-46ae-8823-272f5073c085,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,3024,0
01939143-6eb7-4e90-a2f1-4bf287152d85,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-10 07:19:57,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-10 07:19:57,2024-04-10 07:09:27,2024-04-15 18:30:00,0,_binary '',_binary '',0,0,0,NULL,NULL,NULL,Mid-West,2024-04-10 18:30:00,Arizona,DRAFT,Test,OPEN_MARKET_REQUEST,NULL,22ab8d30-c91a-4129-813b-ab55f73bd56b,5497877d-e632-46ae-8823-272f5073c085,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,4041,1
01b25acb-924f-4ec4-9ec3-19f8f82438c9,c8367fc3-d459-4b83-b48b-37521e6d4795,2022-12-12 10:43:14,c8367fc3-d459-4b83-b48b-37521e6d4795,2022-12-16 11:49:58,2022-12-12 18:30:00,2022-12-21 18:30:00,962,_binary '',_binary '0',0,32.3182314,-86.902298,NULL,NULL,NULL,Mid-Atlantic,2022-12-14 18:30:00,Alabama,DRAFT,LSD you,OPEN_MARKET_REQUEST,NULL,22ab8d30-c91a-4129-813b-ab55f73bd56b,5497877d-e632-46ae-8823-272f5073c085,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,2435,0
022ad11e-1d17-4e6a-b400-8d2337496c9c,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-17 10:20:22,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-24 06:16:35,2024-01-17 10:19:17,2024-01-27 18:30:00,0,_binary '',_binary '0',0,0,0,NULL,NULL,2024-01-23 10:49:24,North-East,2024-01-17 18:30:00,Arizona,IN_PROGRESS,resourcedev_1,OPEN_MARKET_REQUEST,NULL,NULL,5497877d-e632-46ae-8823-272f5073c085,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,2639,0
0248037a-0f3e-44d0-b833-1a0a5934880a,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-06-07 04:28:52,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-06-12 05:22:56,2024-06-12 18:30:00,2024-06-29 18:30:00,0,_binary '',_binary '0',0,0,0,NULL,NULL,2024-06-07 04:40:16,Mid-West,2024-06-26 18:30:00,Alaska,POSTED,testhr,OPEN_MARKET_REQUEST,NULL,NULL,aa3d743f-9d22-4f3d-a47d-7ba562198f6d,NULL,b91189e3-47b3-44b1-a685-0252e97c7d1c,,7885,0
0263a9e7-2f5f-400c-948a-fb8a317cc14a,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-21 05:01:58,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-08-21 05:04:48,2024-08-21 18:30:00,2024-08-27 18:30:00,2222222222,_binary '',_binary '0',0,0,0,NULL,NULL,2024-08-21 05:04:48,Mid-West,2024-08-24 18:30:00,Arizona,POSTED,testingproject,PRIVATE_REQUEST,NULL,NULL,aa3d743f-9d22-4f3d-a47d-7ba562198f6d,NULL,b91189e3-47b3-44b1-a685-0252e97c7d1c,,8191,0
02b23843-8112-4d77-9167-21eaf22476e1,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-04-25 04:35:55,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-07-04 08:52:57,2024-04-25 18:30:00,2024-06-03 18:30:00,1122,_binary '',_binary '0',0,0,0,NULL,NULL,2024-07-04 08:52:57,South-East,2024-04-29 18:30:00,Louisiana,IN_PROGRESS,Tesla_1,PRIVATE_REQUEST,NULL,NULL,5497877d-e632-46ae-8823-272f5073c085,NULL,b91189e3-47b3-44b1-a685-0252e97c7d1c,https://www.mysite.com,9607,0
03437f07-f734-4579-af49-b36862f81662,a69a9857-30f7-4676-b610-a09c3d5e3f40,2022-07-25 04:55:46,a69a9857-30f7-4676-b610-a09c3d5e3f40,2022-07-25 10:44:00,2022-07-27 18:30:00,2022-08-22 18:30:00,31000,_binary '',_binary '0',0,64.2008413,-149.4936733,NULL,2022-07-25 10:44:00,2022-07-25 07:30:12,North-East,2022-07-28 18:30:00,Alaska,COMPLETED,NarolaUan11_2,OPEN_MARKET_REQUEST,NULL,22ab8d30-c91a-4129-813b-ab55f73bd56b,5497877d-e632-46ae-8823-272f5073c085,NULL,a69a9857-30f7-4676-b610-a09c3d5e3f40,,9037,0
03b0fde9-0af9-470c-a385-499207009bd9,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-23 10:51:05,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-23 10:53:01,2024-01-23 10:50:00,2024-01-27 18:30:00,44,_binary '',_binary '0',0,0,0,NULL,NULL,2024-01-23 10:53:01,Mid-West,2024-01-23 18:30:00,Utah,IN_PROGRESS,Theconomy,OPEN_MARKET_REQUEST,NULL,NULL,5497877d-e632-46ae-8823-272f5073c085,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,3484,0
050b1fa0-53fb-43fc-9335-c13d3fda8545,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2023-09-18 05:16:44,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2023-09-19 04:14:17,2023-09-18 18:30:00,2023-09-22 18:30:00,6000,_binary '',_binary '0',0,0,0,NULL,NULL,2023-09-18 13:17:00,Mid-Atlantic,2023-09-20 18:30:00,Alabama,POSTED,NcnProject1_4,OPEN_MARKET_REQUEST,NULL,22ab8d30-c91a-4129-813b-ab55f73bd56b,aa3d743f-9d22-4f3d-a47d-7ba562198f6d,NULL,19430a8c-6324-4105-8fc5-b7973e8f5d7f,,5498,0
063c2c14-a010-40fc-b950-a300e0756df5,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:23:54,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-04 04:11:53,2024-07-19 18:30:00,2024-09-26 18:30:00,0,_binary '',_binary '0',0,0,0,NULL,NULL,2024-07-04 04:11:54,Mid-Atlantic,2024-09-20 18:30:00,Alabama,IN_PROGRESS,PRP TEST MIX JOBSITE ,OPEN_MARKET_REQUEST,73c35bda-c637-4513-a758-b9491df12540,619867e5-7ce0-4139-95cc-a8af62240896,aa3d743f-9d22-4f3d-a47d-7ba562198f6d,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,9350,0
06911f85-7957-4bb2-a28d-1503ab56c2db,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-01-30 11:23:54,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-15 05:57:10,2024-07-19 18:30:00,2024-09-26 18:30:00,0,_binary '',_binary '0',0,0,0,NULL,NULL,2024-07-15 05:57:10,Mid-Atlantic,2024-09-20 18:30:00,Alabama,POSTED,PRP TEST MIX JOBSITE NRW_2,OPEN_MARKET_REQUEST,NULL,619867e5-7ce0-4139-95cc-a8af62240896,aa3d743f-9d22-4f3d-a47d-7ba562198f6d,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,3563,0
